from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0xa2ee58d40bbea31d2da7c6d346336dfc55993188,22,1.65,2018-07-06 01:46:29 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0xa2ee58d40bbea31d2da7c6d346336dfc55993188,22,1.65,2018-07-06 01:46:29 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0xa2ee58d40bbea31d2da7c6d346336dfc55993188,22,1.65,2018-07-06 01:46:29 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0xa2ee58d40bbea31d2da7c6d346336dfc55993188,22,1.65,2018-07-06 01:46:29 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8,0x03b4198bef59fcb7d353c19d1dc67334176e81c9,458,0.011,2018-07-06 11:44:20 UTC,0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8
0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8,0xf19f93b328f0a0a11cc2153b6e77e0a29ca4a03c,459,0.077,2018-07-06 11:45:04 UTC,0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8
0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8,0x8208b08817cb50e6ea95edf3dcf7cf7be5c08979,460,0.37,2018-07-06 11:46:19 UTC,0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8
0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8,0x6d9cd259b3cf44895794454a720957982b22d6b9,461,0.15,2018-07-06 11:47:42 UTC,0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8
0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8,0x32a7f95a1c2115c3307998c9e4098190967fa941,462,0.18,2018-07-06 11:48:04 UTC,0xaedc8a3afc62a3deee4eb232bfdb28058bf554d8
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0x7ed1e469fcb3ee19c0366d829e291451be638e59,23,0.00494216,2018-07-06 02:29:18 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0x7ed1e469fcb3ee19c0366d829e291451be638e59,23,0.00494216,2018-07-06 02:29:18 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0x7ed1e469fcb3ee19c0366d829e291451be638e59,23,0.00494216,2018-07-06 02:29:18 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0xff8e6af02d41a576a0c82f7835535193e1a6bccc,0x7ed1e469fcb3ee19c0366d829e291451be638e59,23,0.00494216,2018-07-06 02:29:18 UTC,0xff8e6af02d41a576a0c82f7835535193e1a6bccc
0x89c98cc6d9917b615257e5704e83906402f0f91f,0xda317ca0d7435baddd3138b664cd9efa41bb2041,0,0.1,2017-08-13 10:38:20 UTC,0x89c98cc6d9917b615257e5704e83906402f0f91f
0x1e80dad60d19fb8159af3f440a8ceaa0e5581847,0xa030135f8f12094018dc74c5e759605bb9dd9d60,3,0.05,2017-08-29 22:31:59 UTC,0x1e80dad60d19fb8159af3f440a8ceaa0e5581847
0x1e80dad60d19fb8159af3f440a8ceaa0e5581847,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,2,0.0,2017-08-29 22:31:59 UTC,0x1e80dad60d19fb8159af3f440a8ceaa0e5581847
0xda657e9fa116900fab8178e5580a3a6cedd89f3c,0xd9e84d5866d0f863a3846492f204019ecd9cfb10,37,0.01,2017-09-08 00:18:05 UTC,0xda657e9fa116900fab8178e5580a3a6cedd89f3c
0x37c81cc9ff71d0f97849a947bf22e8e529b72230,0x58c231b96fa5fe6a9e1f856b943464bcbcc3686f,1,0.03,2017-10-13 09:41:02 UTC,0x37c81cc9ff71d0f97849a947bf22e8e529b72230
0x37c81cc9ff71d0f97849a947bf22e8e529b72230,0x58c231b96fa5fe6a9e1f856b943464bcbcc3686f,2,0.03,2017-10-13 09:42:01 UTC,0x37c81cc9ff71d0f97849a947bf22e8e529b72230
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,0x33e3c8bc4076af27a4bf6dd0f2642083d24f4981,0,28.579866510306729,2017-09-27 14:13:54 UTC,0x3853ba76ec6ae97818e2d0e0839c9eda6c396690
0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715,0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,46,0.4682584,2018-10-01 23:09:16 UTC,0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715
0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715,0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,44,0.684191,2018-10-01 09:14:05 UTC,0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715
0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715,0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,45,0.0675496375,2018-10-01 14:54:21 UTC,0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715
0xaf8185ffff6a3508fc5498a5165bf64de0b0a1e5,0x4092678e4e78230f46a1534c0fbc8fa39780892b,5,0.0,2018-10-01 07:13:04 UTC,0xaf8185ffff6a3508fc5498a5165bf64de0b0a1e5
0x9653d4d2c71cf7f61ba53b92355874e07bb4a86c,0x9eb4f2dd25958ef1c72fe115d62da67abd6c000c,42,0.0,2018-10-01 05:18:29 UTC,0x9653d4d2c71cf7f61ba53b92355874e07bb4a86c
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,0x5691050f00c896404ad4808cf9f9899b37ae1011,1,27.24,2017-09-30 15:32:31 UTC,0x3853ba76ec6ae97818e2d0e0839c9eda6c396690
