from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0x13ae5b35f82651ff327d41502f0aa90da76d777e,0x32be343b94f860124dc4fee278fdcbd38c102d88,12,3.24200199,2015-08-22 13:04:44 UTC,
0xf2c14add753869d4eedfefdcdfba341abfa1d702,0x32be343b94f860124dc4fee278fdcbd38c102d88,15,7.28409307,2015-08-22 13:04:44 UTC,
0xec06c233d618b41076fbff739efb85a4999f89da,0x32be343b94f860124dc4fee278fdcbd38c102d88,10,1.05882465,2015-08-22 12:09:15 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,232,5.00137448,2015-08-22 12:09:15 UTC,
0xbbda93a81b882774e1c9b5e3f933fa35dac8bc88,0x32be343b94f860124dc4fee278fdcbd38c102d88,23,53.89883546,2015-08-22 12:09:15 UTC,
0x6ed7a6220b1cd6f93ac32948c2221e0d372f46ad,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,2,3.79895,2015-08-22 03:00:00 UTC,
0x853bff007d269e0526e871360d79d69d602770dc,0x32be343b94f860124dc4fee278fdcbd38c102d88,21,29.65490668,2015-08-22 07:16:30 UTC,
0xba7933704d52a3e7fdbb5b5ded29e45213ea1111,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,24.053977779999997,2015-08-22 07:16:30 UTC,
0x4ba6c728e6251dc89c317f7dbca89d4136c0bab0,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,4.60304349,2015-08-22 07:16:30 UTC,
0xd9666150a9da92d9108198a4072970805a8b3428,0x32be343b94f860124dc4fee278fdcbd38c102d88,79,1.57319498,2015-08-22 07:16:30 UTC,
0x7cabe4de323c392c7135680c61a04d5eb7519897,0x32be343b94f860124dc4fee278fdcbd38c102d88,13,3.37675842,2015-08-22 07:16:30 UTC,
0xb89c0f465b0472fa5a58ecdd01ed937205ae4d06,0x32be343b94f860124dc4fee278fdcbd38c102d88,16,1.69879664,2015-08-22 07:16:30 UTC,
0x3b01ebd2419f6d39db6ab4471e6382848716641f,0x32be343b94f860124dc4fee278fdcbd38c102d88,12,10.9807863,2015-08-22 13:04:45 UTC,
0xa9f5e7bf6cbf6fec55b30850eb492b47a376d050,0x32be343b94f860124dc4fee278fdcbd38c102d88,37,46.9988226,2015-08-22 17:21:34 UTC,
0xa6bdc31c431b8f97848c9d60cbbe9660dc450eb7,0x32be343b94f860124dc4fee278fdcbd38c102d88,223,4.99880608,2015-08-22 07:49:42 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,202,14.99880607,2015-08-22 07:49:42 UTC,
0xa70a9a7040d542c632d8e0be7c5513a8a5bbc752,0x32be343b94f860124dc4fee278fdcbd38c102d88,353,5.15505608,2015-08-22 07:49:42 UTC,
0xdda6186c093643bd45d00c14740b33785e0aca9c,0xc47aaa860008be6f65b58c6c6e02a84e666efe31,2,0.99895,2015-08-22 20:50:23 UTC,
0x5b6d1655738e28b06f5045069a2920911b57fed2,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1,1.386301556519399,2015-08-22 13:02:11 UTC,
0x7a13b7df65e378a3587e1366ff0f0498fa74a491,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,2,4.621178996519399,2015-08-22 13:02:11 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,309,4.99878754,2015-08-22 22:30:25 UTC,
0xfd7c9117bbeb649d9b37b3d3c9917f7c12f526b3,0x32be343b94f860124dc4fee278fdcbd38c102d88,37,471.55172602000005,2015-08-22 22:30:25 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4207ce62f4d50541ca1b8c0a43d1ad3458c5f783,1716,0.99,2015-08-22 18:15:49 UTC,
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0xfb72681f4b995649a66c6514902a604068d356d3,1272,99.995,2015-08-22 15:11:15 UTC,
0x06bcfdb20583cc822f2031724e36f3678bbca6e9,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,16.96454666,2015-08-22 19:14:23 UTC,
0x556ca325c21e450b2aff86d9c8ef0fa371971c97,0x32be343b94f860124dc4fee278fdcbd38c102d88,26,11.74792256,2015-08-22 19:14:23 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x041da2696b46b6003d33fa57e27d25c5a7046b28,1659,1.99,2015-08-22 02:40:37 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,143,4.99986413,2015-08-22 00:13:58 UTC,
0x4d67f4f0db45b3b5a3424b39ed8d972f710381d5,0x32be343b94f860124dc4fee278fdcbd38c102d88,69,55.898814130000005,2015-08-22 00:13:58 UTC,
