from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,benign_adx
0x10d50b62a87413dfd8b111398613f2eb8d819f6c,0x32be343b94f860124dc4fee278fdcbd38c102d88,726,1.01545681,2016-04-10 22:41:31 UTC,0x10d50b62a87413dfd8b111398613f2eb8d819f6c
0x3629b45bbf972adc23c064d31b7d7c6ce17415d5,0x32be343b94f860124dc4fee278fdcbd38c102d88,572,6.85437293,2016-04-10 15:36:02 UTC,0x3629b45bbf972adc23c064d31b7d7c6ce17415d5
0xf2cc0eeaaaed313542cb262b0b8c3972425143f0,0x32be343b94f860124dc4fee278fdcbd38c102d88,491,1.16872557,2016-04-10 15:36:11 UTC,0xf2cc0eeaaaed313542cb262b0b8c3972425143f0
0xf2cc0eeaaaed313542cb262b0b8c3972425143f0,0x32be343b94f860124dc4fee278fdcbd38c102d88,488,1.24105604,2016-04-10 03:31:40 UTC,0xf2cc0eeaaaed313542cb262b0b8c3972425143f0
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,3050,15.17459836,2016-04-10 06:39:12 UTC,0x608f4b86321a68453f9adf6f06f7fc3e621739ad
0x4d67f4f0db45b3b5a3424b39ed8d972f710381d5,0x32be343b94f860124dc4fee278fdcbd38c102d88,3031,14.89937,2016-04-10 06:39:12 UTC,0x4d67f4f0db45b3b5a3424b39ed8d972f710381d5
0xfa9f15f96e3244897308a95163a62861685e8917,0x32be343b94f860124dc4fee278fdcbd38c102d88,1032,5.92013254,2016-04-10 06:39:27 UTC,0xfa9f15f96e3244897308a95163a62861685e8917
0x6343ac3f15c925acd28bbf799a138781e4cb692f,0x32be343b94f860124dc4fee278fdcbd38c102d88,952,2.01355481,2016-04-10 22:50:42 UTC,0x6343ac3f15c925acd28bbf799a138781e4cb692f
0x1abf4691de073851dd4f0dd7f998681b15622a6c,0x32be343b94f860124dc4fee278fdcbd38c102d88,730,2.75935745,2016-04-10 22:51:33 UTC,0x1abf4691de073851dd4f0dd7f998681b15622a6c
0x47685892143e79e7e4e71398c0940c23800906b8,0x32be343b94f860124dc4fee278fdcbd38c102d88,847,1.97604312,2016-04-10 22:51:33 UTC,0x47685892143e79e7e4e71398c0940c23800906b8
